Item Code,Colour Status,Colour Status.1,Prev Colour Status,Prev Colour Status.1,Red Days,Red to Black
30161803SD00682,Black,Black,Yellow,Yellow,0,0
30161803SD00797,Black,Green,Green,Green,0,0
30161803SD00063,Yellow,Yellow,Green,Green,0,0
30161803SD00670,White,White,White,White,0,0
30161803SD01024,White,White,White,White,0,0
30161803SD00686,White,White,White,White,0,0
30161803SD00248,White,White,White,White,0,0
30161803SD00041,White,White,White,White,0,0
30161803SD00838,White,White,White,White,0,0
30161803SD00119,White,White,White,White,0,0
30161803SD00328,White,White,White,White,0,0
30161803SD00816,White,White,White,White,0,0
30161803SD00305,White,White,White,White,0,0
30161803SD00042,Yellow,Yellow,White,White,0,0
30161803SD00067,White,White,Yellow,Yellow,0,0
30161803SD00116,White,White,White,White,0,0
30161803SD00847,White,White,White,White,0,0
30161803SD00665,White,White,White,White,0,0
30161803SD00175,White,White,White,White,0,0
30161803SD00845,White,White,White,White,0,0
30161803SD00674,White,White,White,White,0,0
30161803SD00327,White,White,White,White,0,0
30161803SD00329,White,White,White,White,0,0
30161803SD00115,White,White,White,White,0,0
30161803SD00433,White,White,White,White,0,0
30161803SD00174,White,White,White,White,0,0
30161803SD00156,White,White,White,White,0,0
30161803SD00763,White,White,White,White,0,0
30161803SD00837,White,White,White,White,0,0
30161803SD01000,White,White,White,White,0,0
30161803SD00316,White,White,White,White,0,0
30161803SD00394,White,White,White,White,0,0
30161803SD00307,White,White,White,White,0,0
30161803SD00989,White,White,White,White,0,0
30161803SD00325,White,White,White,White,0,0
30161803SD00121,White,White,White,White,0,0
30161803SD01028,White,White,White,White,0,0
30161803SD00814,White,White,White,White,0,0
30161803SD00988,White,White,White,White,0,0
30161803SD00221,Green,Green,White,White,0,0
30161803SD00780,White,White,White,White,0,0
30161803SD00817,White,White,White,White,0,0
30161803SD00106,White,White,White,White,0,0
30161803SD00791,Yellow,Yellow,White,White,0,0
30161803SD00818,Black,Black,Green,White,0,0
30161803SD00252,White,White,White,White,0,0
30161803SD00132,White,White,White,White,0,0
30161803SD00673,White,White,White,White,0,0
30161803SD00799,White,White,White,White,0,0
30161803SD00123,White,White,White,White,0,0
30161803SD00658,White,White,White,White,0,0
30161803SD00793,White,White,White,White,0,0
30161803SD00031,White,White,White,White,0,0
30161803SD00065,White,White,White,White,0,0
30161803SD00769,Yellow,Yellow,White,White,0,0
30161803SD00804,Yellow,Yellow,White,White,0,0
30161803SD00685,White,White,White,White,0,0
30161803SD00232,White,White,White,White,1,0
30161803SD00678,White,White,White,White,0,0
30161803SD00112,White,White,White,White,0,0
30161803SD00820,White,White,White,White,0,0
30161803SD01033,White,White,White,White,0,0
30161803SD00851,White,White,White,White,0,0
30161803SD01027,White,White,White,White,0,0
30161803SD00178,White,White,White,White,0,0
30161803SD00057,Black,Black,White,White,0,0
30161803SD00479,White,White,White,White,0,0
30161803SD00790,White,White,White,White,0,0
30161803SD00070,White,White,White,White,0,0
30161803SD00027,White,White,White,White,0,0
30161803SD00792,White,White,White,White,0,0
30161803SD00032,White,White,White,White,0,0
30161803SD00850,White,White,White,White,0,0
30161803SD01037,White,White,White,White,0,0
30161803SD00120,White,White,White,White,0,0
30161803SD00107,White,White,White,White,0,0
30161803SD00781,White,White,White,White,0,0
30161803SD00172,White,White,Green,White,0,0
30161803SD00117,White,White,White,White,0,0
30161803SD00821,White,White,White,White,0,0
30161803SD00693,White,White,White,White,0,0
30161803SD00856,White,White,White,White,0,0
30161803SD00857,White,White,White,White,0,0
30161803SD00677,White,White,White,White,0,0
30161803SD00179,White,White,White,White,0,0
30161803SD00395,White,White,White,White,0,0
30161803SD00034,White,White,White,White,0,0
30161803SD00999,White,White,White,White,0,0
30161803SD00050,White,White,White,White,0,0
30161803SD00317,White,White,White,White,0,0
30161803SD00861,White,White,White,White,0,0
30161803SD00396,White,White,White,White,0,0
30161803SD01031,White,White,White,White,0,0
30161803SD00237,White,White,White,White,0,0
30161803SD00088,White,White,White,White,0,0
30161803SD00770,White,White,White,White,0,0
30161803SD00044,White,White,White,White,0,0
30161803SD00128,White,White,White,White,0,0
30161803SD00118,White,White,White,White,0,0
30161803SD00762,White,White,White,White,0,0
30161803SD00795,White,White,White,White,0,0
30161803SD00060,White,White,White,White,0,0
30161803SD01030,White,White,White,White,0,0
30161803SD00764,White,White,White,White,0,0
30161803SD00075,White,White,White,White,0,0
30161803SD01025,White,White,White,White,0,0
30161803SD00052,White,White,White,White,0,0
30161803SD00090,White,White,White,White,0,0
56101531SD00015,White,White,White,White,0,0
30161803SD00998,White,White,White,White,0,0
30161803SD00997,White,White,White,White,0,0
30161803SD01032,White,White,White,White,0,0
56101531SD00014,White,White,White,White,0,0
30161803SD00994,White,White,White,White,0,0
30161803SD01034,White,White,White,White,0,0
30161803SD01001,White,White,White,White,0,0
30161803SD00129,White,White,White,White,0,0
30161803SD00991,White,White,White,White,0,0
30161803SD00855,White,White,White,White,0,0
30161803SD01003,White,White,White,White,0,0
30161803SD00036,White,White,White,White,0,0
30161803SD00990,White,White,White,White,0,0
30161803SD00996,White,White,White,White,0,0
30161803SD01026,White,White,White,White,0,0
30161803SD01029,White,White,White,White,0,0
